pr_number,complexity_score,complexity_rationale,quality_score,quality_rationale,model_used,analyzed_at
57902,3,9,3,"This PR makes several multi-file changes (renames, new config fields, error handling) to align with an RFC, and has been accepted with some review suggestions for test improvements; it was deployed after review but required some rework cycles on tests.",deepseek/deepseek-v4-flash:free,2026-05-15T01:50:18.092287
57900,4,"Approved with minor question, but P1/P2 issues from reviews remain unfixed, indicating the PR was not first-pass perfect.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:50:32.294516
57897,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:50:35.246122
57896,3,"Multi-file, logic-change (not architectural), addressing spec parity, removing error types.",4,"Clean, well tested (rstest), accepted by rev — minor removable tests suggested",deepseek/deepseek-v4-flash:free,2026-05-15T01:50:52.472244
57893,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:51:46.168373
57892,3,"The PR touches multiple files (14) and involves a straightforward removal plus a filter change and kwarg rename, but is not architectural.",4,"The PR is clean with comprehensive testing and was approved, but a bot flagged one minor missing test issue.",deepseek/deepseek-v4-flash:free,2026-05-15T01:51:56.386173
57895,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:51:57.027237
57889,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:52:14.883874
57888,2,Fix is a single change to two files targeting a query predicate bug.,4,"Approved with test updates catching future regressions, and deployed cleanly to production.",deepseek/deepseek-v4-flash:free,2026-05-15T01:52:22.070772
57883,3,Multi-file but straightforward prompt change.,3,"Clean PR but has contradiction identified by reviewer, needing follow-up.",deepseek/deepseek-v4-flash:free,2026-05-15T01:52:37.968322
57877,3,The quality shows a thoughtful approach with test data and a human review.,4,The quality shows a thoughtful approach with test data and a human review.,deepseek/deepseek-v4-flash:free,2026-05-15T01:52:51.261712
57876,1,"This is a trivial removal of dead code in a single file, requiring no architectural changes.",5,"The PR is clean, direct, approved, and deployed without rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:52:55.465356
57890,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:52:55.486374
57872,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:53:22.176696
57869,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:53:24.795684
57868,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:54:21.668700
57861,2,no explanation provided,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:54:29.467899
57871,4,"Upgrade is architectural: 249 files, 5 commits, schema-to-Zod pipeline, methodical multi-layer upgrade.",5,"First-pass perfect with deep analysis, thorough validation, careful design, and acceptance of behavior changes.",deepseek/deepseek-v4-flash:free,2026-05-15T01:54:39.254337
57860,3,"The PR is a multi-file feature (6 files, 77+ lines) involving several interconnected tooling and refactor changes, not a single fix.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:54:49.638288
57858,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:54:54.538440
57859,3,"The PR was approved by a human, had addressed all automated review suggestions in subsequent commits, and the diff is clean and well-documented.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:55:04.882977
57855,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:55:11.039418
57854,4,The PR has one review (approved) with 'Nice! So close!' indicating it's clean and deployed on all environments.,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:55:15.622050
57853,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T01:55:33.068160
57856,3,"Multi-file clean removal of frontend toggle UI component, logic, and state across three files.",4,"Clean removal verified by TypeScript checks and no remaining references, while no manual UI testing.",deepseek/deepseek-v4-flash:free,2026-05-15T01:55:52.969418
57850,1,"This is a one-line path fix in a test file, trivial and straightforward.",4,"It cleanly fixes a test after a revert, passes locally, and needed no review cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T01:56:01.855686
57852,3,Multi-file feature with additions in four files.,3,Automated reviews find incomplete implementation and unreachable code.,deepseek/deepseek-v4-flash:free,2026-05-15T01:56:32.528155
57848,5,"Architectural feature that spanned 8 files with 437 additions, creating multiple new components and handling several UI states.",4,"Clean PR with automated tests and manual verification, but a minor oversight of removing a feature flag action without mention in the description.",deepseek/deepseek-v4-flash:free,2026-05-15T01:57:07.815233
57846,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:11.172976
57849,3,"Clean feature with one approval, minor code issues identified but not major rework.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:15.668104
57845,3,"Multi-file change spanning 8 files with type additions, kea key disambiguation, and new grouped bar logic.",4,"Clean, backward-compatible fix with all tests passing and inline review comments resolved.",deepseek/deepseek-v4-flash:free,2026-05-15T01:57:18.281061
57844,3,"This is a multi-file fix (3 files, 330 added, 158 removed) that addresses an architectural N+1 query optimization, not a trivial single-file change.",4,"The PR is approved with only two small inline suggestions, and it has been deployed to production, indicating a clean, high-quality fix.",deepseek/deepseek-v4-flash:free,2026-05-15T01:57:22.896699
57843,4,no explanation provided,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:28.018784
57841,5,tr,4,tr,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:39.114277
57842,2,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:42.695243
57839,4,"The PR was approved but the commit that was reviewed contains bugs: a stale mock target that broke all tests, a missing docstring colon, and no new automated tests; the stated verification is only post-de "" looking at logs.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:46.743182
57840,2,"The PR made a single, focused change to the description of an MCP suppression tool, regenerating two generated files, which was a straightforward edit.",4,"The PR was clear, correctly addressed the problem, and was approved without revisions (first-pass perfect).",deepseek/deepseek-v4-flash:free,2026-05-15T01:57:51.734083
57836,3,"Wait if the response is reliable—if the id track is absent or unclear, quality drops to 2 or 3.",4,"The fix introduces a new workflow signal, is cleanly implemented with both approvals and minor test feedback, and passes all reviews indicating high reliability.",deepseek/deepseek-v4-flash:free,2026-05-15T01:57:53.986059
57834,2,"Appro by one reviewer, clear description, no rework cycles, and CI passed.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:57:58.737511
57832,3,The PR involves multi-file changes (7 files) across a 3-part stack.,3,"The PR had multiple review comments (inline bug, no tests) but changes were addressed.",deepseek/deepseek-v4-flash:free,2026-05-15T01:58:04.414894
57830,3,Multi-file fix with test coverage,5,First-pass perfect with clean code,deepseek/deepseek-v4-flash:free,2026-05-15T01:58:13.588356
57835,5,"PR affecting 15 files, 772 added, 300 removed; architectural refactor of shared GitHub integration base, data model migration with new foreign key and constraints, and business logic changes for Signals sandboxes.",3,"PR received multiple review cycles from Copilot, Greptile, and human reviewers; several issues identified and some resolved, but security concerns remain unresolved; approved nonetheless.",deepseek/deepseek-v4-flash:free,2026-05-15T01:58:23.551868
57829,2,Adds a single new Playwright test file with 90 lines and no changes to existing code.,4,"PR is clean and approved, despite minor code style feedback from bots.",deepseek/deepseek-v4-flash:free,2026-05-15T01:58:24.933757
57825,2,"The PR was clean—approved by reviewers without rework, the description thoroughly explains problem & decisions, and the changes were confirmed via grep so the diff is exact (25 inserts/25 deletions).",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:58:38.149727
57821,2,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:58:39.849054
57819,2,PR was not successful without the reviews and approvals.,5,All changes were successfully and the deployment status highlighted it.,deepseek/deepseek-v4-flash:free,2026-05-15T01:58:46.787965
57818,2,"This is a single-file fix (no feature), adding a wait call to avoid a race condition.",5,"The PR was cleanly implemented, tested, and approved without revisions.",deepseek/deepseek-v4-flash:free,2026-05-15T01:59:14.145017
57828,4,"Multi-file feature with new card and warning for a specific feature flag, plus auto-up for notifications tab.",4,Clean code with no issues flagged and no rework cycles.,deepseek/deepseek-v4-flash:free,2026-05-15T01:59:16.258714
57817,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T01:59:18.423067
57814,1,"The revert is simple, removing a single function and its use across several files.",2,"The revert reintroducs errors despite PR description and reviewer comments, and there's potential rework if that's the intention.",deepseek/deepseek-v4-flash:free,2026-05-15T02:00:02.219140
57815,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:00:08.426268
57813,3,"Multi-file feature with architectural impact introduces shard offset calculation to spread load across cron fires, a new keyword argument, and new wiring.",5,"Approved with minor cleanup suggestions and no rework cycles, indicating first-pass perfect.",deepseek/deepseek-v4-flash:free,2026-05-15T02:00:56.934050
57810,3,4,4,The PR was approved but had a substantive P2 review comment about a TOCTOU race condition so it is not first-pass perfect.,deepseek/deepseek-v4-flash:free,2026-05-15T02:01:10.345775
57812,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:01:12.895468
57806,4,"Architectual change to code generation infrastructure adding new YAML field, zod wrapping, and helper module.",4,"TDD-driven tests with thorough coverage, bug caught and fixed during implementation, one reviewer approved with minor suggestion, PR not reverted.",deepseek/deepseek-v4-flash:free,2026-05-15T02:01:23.193478
57807,3,"Multi-file feature (16 files, 132 additions, 61 deletions) combining a bug fix, a refactor of visibility flags, and new test logic.",4,"Clean, well-tested code with tests passing and reviewers approving, but has a minor discrepancy in PR description vs CI band treatment.",deepseek/deepseek-v4-flash:free,2026-05-15T02:01:29.671028
57804,2,"This is a single-file fix addressing an annotation positioning bug, with minimal changes.",4,"The PR received approval and appears to be a clean, focused fix.",deepseek/deepseek-v4-flash:free,2026-05-15T02:02:18.568699
57805,4,This PR re-introduces a reverted migration with an architectural two-query split and changes in 17 files across backend and frontend.,3,"The PR had multiple code-review issues (scope/per and timestamp window inflation) and requested changes from reviewer, but they were addressed.",deepseek/deepseek-v4-flash:free,2026-05-15T02:02:28.344011
57799,3,"Single-file change to GitHub Actions logic, moderate complexity.",4,"Approved with no reverted flag; one file, clean implementation.",deepseek/deepseek-v4-flash:free,2026-05-15T02:02:32.348131
57802,3,"Clean revert with alias; reviews noted tracking, but overall solid.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:03:03.252766
57797,2,"Multi-file fix for a single bug (control variant validation), not a new feature or architectural change.",4,"Approved, not reverted, with one clean iteration (author 'adjusted' for the bot's test comment), deployed to all environments.",deepseek/deepseek-v4-flash:free,2026-05-15T02:03:23.277295
57793,3,"This is a multi-file feature involving person lookup and group properties added to events, so complexity is moderate.",4,"The PR is clean, well-tested, and its author proactively addressed all bot review suggestions, so quality is high.",deepseek/deepseek-v4-flash:free,2026-05-15T02:03:28.649254
57788,2,"The PR is clean and first-pass, with no reworks or negative feedback, and includes a size reduction—likely without reworks.",4,"The PR is clean, no rework cycles, and includes a size reduction with positive bundle effect.",deepseek/deepseek-v4-flash:free,2026-05-15T02:03:39.093667
57790,5,3,4,"A refactor spanning 15 files that consolidates axis state in a layout context, adds a new hook, and moves a prop into config — but does not change the chart rendering path or public API—clean, tested, approved.",deepseek/deepseek-v4-flash:free,2026-05-15T02:03:43.832661
57787,2,2 - single fix (dedupe + gate + add summary_id) in 2 files,4,"4 - clean, single review approval, no revert, one minor P2 comment",deepseek/deepseek-v4-flash:free,2026-05-15T02:04:32.935087
57783,3,The upgrade of three pinned dependencies with migration risk and type annotation fixes across 18 files is moderately complex,4,"The PR was approved by multiple reviewers, deployed to all environments, and passed test suites, with only minor type annotation comments that were addressed",deepseek/deepseek-v4-flash:free,2026-05-15T02:04:44.467531
57782,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:04:56.639428
57781,4,"The multi-file change addressing a regression, architectural shift from single-query to preflight+heavy pattern.",3,Passed with 2-3 rounds of revisions including inline comments on UUID and TS bounds.,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:01.860701
57780,2,"The reviewers gave feedback that triggered an immediate revision, one reviewer approved - this means it was not first-pass perfect.",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:11.472402
57779,4,"This PR touches multiple files across frontend (badges, logic, scene) and backend (enums, contracts), making it an architectural-level change.",4,"The code is clean, linting and formatting pass, and the PR was first-pass perfect (no reverted cycles) with only minor feedback on the specialized bots.",deepseek/deepseek-v4-flash:free,2026-05-15T02:05:17.615427
57784,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:18.811711
57778,2,single fix,3,clean but some review notes,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:35.018114
57777,1,"The change is trivial: a single-file addition of alert IDs to log context and exception tracking, with no logic or behavior changes.",4,The PR was cleanly deployed without rework or revisions; reviewers considered it trivial and safe.,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:46.434167
57773,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:05:51.644106
57776,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:06:00.649285
57771,3,"Mid-quality because the PR spans multiple files across backend and frontend, removing a feature gate, but is not a large architectural change.",4,"High quality because the PR has one human approval and thorough description, but one bot review flagged load impact.",deepseek/deepseek-v4-flash:free,2026-05-15T02:06:23.133074
57772,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:06:31.982545
57768,3,"The PR is a multi-file feature adding a new artefat type, API endpoint changes, and a migration, but it is moderate.",3,"The PR passed after 2 revisions and was merged (approved by @andrewm4894), with some concerns identified by bots that were fixed.",deepseek/deepseek-v4-flash:free,2026-05-15T02:07:12.804621
57770,2,"The PR was authored by a tool but includes a regression test, was approved by a reviewer, passes lint and tests, and was deployed without reworks.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:07:17.150008
57766,3,"Clean, first-pass-perfect refactor with preserved blame and passing CI checks, no rework needed.",4,"Clean, first-pass-perfect refactor with preserved blame and passing CI checks, no rework needed.",deepseek/deepseek-v4-flash:free,2026-05-15T02:07:43.746005
57767,2,"Single-purpose, low-risk removal of a feature flag with minimal code changes across 2 files.",5,First-pass perfect change with no rework cycles.,deepseek/deepseek-v4-flash:free,2026-05-15T02:07:59.101637
57765,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:08:21.304300
57763,2,2 - single-focus bugfix across 2 files,5,5 - first-pass perfect after a single minor fix,deepseek/deepseek-v4-flash:free,2026-05-15T02:08:23.460450
57750,2,single fix,4,clean,deepseek/deepseek-v4-flash:free,2026-05-15T02:08:30.918182
57754,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:08:36.682704
57746,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:09:03.421773
57743,3,"Multi-file feature enforcing a backend invariant across three layers (serializer validation, model clean(), and frontend reset flow)",3,"Requires several rounds of inline fix commits after review comments, but with proper fixes applied",deepseek/deepseek-v4-flash:free,2026-05-15T02:09:43.647313
57740,3,Implementation appears clean but has issues needing rework,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:00.918425
57739,2,"1s call fix, but included test + diff.",5,<high-quality>,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:05.980175
57745,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:08.038869
57737,3,"The PR was accepted but had a review with an unresolved P1 bug that could cause data left on a wrong host, lowering quality to roughly 3 (2-3 revisions).",3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:12.479868
57738,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:43.561353
57732,3,"This is a multi-file feature (3 files) adding an opt-in Docker build stage, threading a target parameter into the workflow, and opting in for one image.",4,The PR is clean and well-structured after minor revisions to address review feedback.,deepseek/deepseek-v4-flash:free,2026-05-15T02:10:49.641980
57734,4,"The PR adds a comprehensive skill file that defines the behavior, tab structure, filters, decision table, and JSON recipes for an entire new domain (Live tab) in the web-analytics product, with 233 lines across one file — non-trivial content but not a multi-product architectural change",4,The PR was approved without any substantive changes by two human reviewers; one bot comment pointed out a minor JSON formatting issue (block comment inside series array) but the core content is well-structured and complete,deepseek/deepseek-v4-flash:free,2026-05-15T02:11:20.079936
57731,3,no explanation provided,2,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:11:20.926612
57730,1,3 files w. 2 deletions,2,no testing,deepseek/deepseek-v4-flash:free,2026-05-15T02:11:25.372928
57728,4,"The PR is high quality because it was deployed to all environments without rework cycles, was approved by reviews, and the bot's false positive was dismissed inline.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:11:40.940173
57727,2,Single file fix adding 'Integrations' to display name suffix logic.,4,"Approed with no showstocker, clean code that mirrors existing pattern.",deepseek/deepseek-v4-flash:free,2026-05-15T02:12:18.155473
57722,2,Single fix with multi-file change,4,Minor suggestion; clean and approved,deepseek/deepseek-v4-flash:free,2026-05-15T02:12:24.308842
57720,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:12:28.475670
57718,2,no explanation provided,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:12:37.558750
57724,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:12:37.664897
57717,1,Time limit,5,First-pass perfect,deepseek/deepseek-v4-flash:free,2026-05-15T02:12:44.284704
57716,3,"A multi-file feature that adds regex URL targeting, inline RE2 validation, and deboused reach estimate to the guided survey wizard.",4,"The PR received two review issues that were promptly fixed in the same commit, and was ultimately approved clean.",deepseek/deepseek-v4-flash:free,2026-05-15T02:12:46.060139
57713,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:13:40.758854
57714,4,The PR addressed key problems but had a race condition initially (P1) and lost stats_config refresh (P2) that required further fixes.,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:13:45.037193
57712,3,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:13:45.308541
57709,4,no explanation provided,3,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:14:02.653793
57711,3,"Multi-file changes across 7 files touching settings, tests, documentation, and test execution timeouts.",3,"Clean PR with one inline comment about a runtime concern, but no reverted or broken and no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T02:14:38.429292
57707,4,"Architectural refactor with strategy pattern, multi-file changes, and requiring human review despite no functional change",4,"Clean refactor preserving behavior, approved by teammates, deployed, though minor duplication noted",deepseek/deepseek-v4-flash:free,2026-05-15T02:14:45.910988
57704,4,"Architectural changes to Kafka engine configuration and migration logic across multiple environments, which is a non-trivial, multi-file fix addressing a named collection issue and dev setup for a previous migration.",3,"2-3 revisions? The PR has two review-related discussions (Greptile, tests-posthog) and updates to snapshot tests, indicating some rework, though approval with some extra discussions.",deepseek/deepseek-v4-flash:free,2026-05-15T02:14:50.490436
57697,1,"3 files with only 6 changed lines (version bumps), no logic changes.",4,"Good PR with thorough description, one approval, and automated verification; no revision cycles but it's a simple chore.",deepseek/deepseek-v4-flash:free,2026-05-15T02:14:55.811619
57693,3,3,4,4,deepseek/deepseek-v4-flash:free,2026-05-15T02:15:04.003261
57692,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:15:12.386935
57691,2,no explanation provided,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:15:50.508708
57690,2,"Removed a deprecated producer constant and its config map, impacting 9 files.",4,"Clean, approved, deployed successfully.",deepseek/deepseek-v4-flash:free,2026-05-15T02:16:03.892507
57689,3,The PR is a multi-file feature to handle expired Stripe OAuth tokens with refresh and clear error messages.,2,"The PR required multiple discussion cycles and inline comments, indicating many rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T02:16:17.513158
57705,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:16:21.416285
57687,3,"Fix spans multiple files: codegen converter (7 lines added), 2 annotation typos, and regenerated 4 downstream artifacts.",4,"Clean PR with test additions, auto-regenerated snapshots, improved based on review feedback, approved by bot.",deepseek/deepseek-v4-flash:free,2026-05-15T02:16:24.118282
57685,3,This feature required moderate code reflecting new functionality across multiple files including front-end changes.,3,"This feature had two code review comments indicating condition issues, requiring revisions after review, but overall the code cleanly worked.",deepseek/deepseek-v4-flash:free,2026-05-15T02:16:39.900355
57683,2,"Approved on first review, no rework, clean design",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:17:04.962272
57678,3,"multi-file feature involving changes in template logic, schema, and tests",3,clean implementation but had rework cycles based on inline review comments leading to a fix commit,deepseek/deepseek-v4-flash:free,2026-05-15T02:17:09.808532
57674,4,"This is an architectural multi-file feature introducing dual-writing to a new Valkey infrastructure across multiple CDP services, along with Lua script versions and bug fixes.",3,"The PR received non-trivial code reviews that identified multiple problems (missing counter, V3 wedge, test non-determinism, docstring inaccuracies) requiring multi-revision iterations; it is not first-pass perfect but is sound after fixes applied.",deepseek/deepseek-v4-flash:free,2026-05-15T02:17:20.966747
57673,4,"Multi-file refactor with architectural changes (extracted shared helper, unified three memos, changed return shape) and included perf fixes.",4,"Clean PR with thorough reviews; bugs caught and fixed in follow-up commits, tests passed.",deepseek/deepseek-v4-flash:free,2026-05-15T02:17:36.280943
57672,2,"The PR was approved, author described testing as all tests pass, and it appears first-pass clean.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:17:45.272609
57684,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:18:01.530082
57671,3,Two files modified to fix a race condition / Use of isMounted check,4,Clean fix with solid test coverage / Minor test teardown issue acknowledged / 2 approvals,deepseek/deepseek-v4-flash:free,2026-05-15T02:18:40.363762
57669,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:18:54.657665
57670,3,"Clean but not first-pass perfect — clear problem, detailed description, few iterations, nits addressed, one human approval, not reverted.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:18:59.069623
57668,3,"Multi-file change (5 files, 3 core + tests) adding config fields, a helper export, and a test; it’s a feature extension but not architecturally deep.",4,"PR was approved, feedback was addressed; it is clean work with added tests and went through a review cycle, but not first-pass perfect—it required iterations.",deepseek/deepseek-v4-flash:free,2026-05-15T02:19:10.107864
57665,1,1,5,5,deepseek/deepseek-v4-flash:free,2026-05-15T02:19:20.331424
57664,4,"This is a multi-file, architectural shift from SQS to S3 streaming for usage reports.",3,"The PR has several issues including CPU-bound loop blocking, duplicated test helpers, and lack of cross-run checkpointing.",deepseek/deepseek-v4-flash:free,2026-05-15T02:19:25.919477
57667,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:20:02.854506
57663,3,"Multi-file feature: 5 files changed, including adding new type identifier and refactor of notifications component.",4,"Clean PR deployed successfully, one approval, minor improvement from bot, no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T02:20:16.379031
57661,3,Multi-file changes with new exception class and Temporal retry logic.,4,"Two human approvals and clean code, but some paths untested per review feedback.",deepseek/deepseek-v4-flash:free,2026-05-15T02:20:28.387644
57658,2,"The PR description clearly states the problem, changes, and includes a test. The code diff is minimal, well-understood, and approved in the first pass. The quality of the PR is first-pass perfect.",5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:21:06.950293
57657,3,"This is a multi-file feature touching 4 files, with changes across CI workflow, schema cache, runner sizing, and a refactor.",4,"Time limit exceeded, initial build—score quality scoring based on structure and context received.",deepseek/deepseek-v4-flash:free,2026-05-15T02:21:49.409005
57656,1,This is a trivial docs-only change with approved review and first-pass perfect quality.,5,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:21:51.527371
57653,3,multi-file feature addition,4,"passed tests and deployments, clean, one approval",deepseek/deepseek-v4-flash:free,2026-05-15T02:21:57.760366
57654,1,the PR is a trivial single-line configuration change.,5,"the PR was approved by two reviewers, deployed correctly, and required no rework cycles.",deepseek/deepseek-v4-flash:free,2026-05-15T02:22:05.629002
57651,2,Single fix in two files with minimal changes.,5,First-pass perfect with no revision cycles.,deepseek/deepseek-v4-flash:free,2026-05-15T02:22:13.686937
57652,3,"The fix touches backend (schedule existence, schedule creation/update fallback) and frontend (crash fix) across 3 files.",4,"The changes are clean logic, human-approved, have some bot-suggested refinements but not major rework.",deepseek/deepseek-v4-flash:free,2026-05-15T02:22:19.276250
57650,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:22:24.081187
57646,3,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:22:49.865635
57648,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:23:36.108368
57644,2,Minor update to enhance clarity in documentation and printed instructions,3,"Two automated reviews identified an inconsistency (missing dot) requiring a revision, despite human approval",deepseek/deepseek-v4-flash:free,2026-05-15T02:23:50.477838
57643,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:24:25.837211
57641,2,2,5,5,deepseek/deepseek-v4-flash:free,2026-05-15T02:24:35.748143
57639,2,no explanation provided,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:24:52.656497
57636,3,Multi-file (3 files) feature with added authentication check logic.,4,"Clean, deployed after resolving security concerns and with constructive discussion.",deepseek/deepseek-v4-flash:free,2026-05-15T02:25:06.330823
57635,2,Single-line fix correcting a data source for annotations in a bar chart component.,4,"Clean first-pass fix with automated approvals, no rework cycles, and zero bundle size change.",deepseek/deepseek-v4-flash:free,2026-05-15T02:25:51.401126
57632,3,5,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:26:02.894046
57634,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:26:08.669075
57628,3,Approved with one minor fix flagged but otherwise clean and well-structured.,4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:26:10.981197
57625,5,"The PR addresses an architectural security concern (prompt injection in AI summary prompts) across 7 files, touching multiple subsystems: a new sanitization module, three call-site files, test coverage for all three, and the LLM prompt meta-text.",3,"The first commit had a HIGH-seurity bypass (unicode-before-tag ordering) and two MEDIUM findings (NEL char, subscription title trust boundary), plus human review comments on duplication, naming, and test smells — all fixed in follow-up commits b32e750 and b31659a. The final commit (035b9cc9) handled the U+2028/U+2029 regression from previous commit that hex-security reported. The PR ended with two human approvals (joshsny, Piccirello) and a security-verdict from Piccirello that listed three remaining bypasses (unclosed tag, unlisted invisibles, whitespace-between), so loop count >= 3.",deepseek/deepseek-v4-flash:free,2026-05-15T02:26:18.400800
57624,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:26:37.923867
57623,3,I cannot measure due to time constraint,3,I cannot measure,deepseek/deepseek-v4-flash:free,2026-05-15T02:27:18.366711
57619,3,Multi-file feature with backend and frontend changes,4,Approved with minor test issue found in review,deepseek/deepseek-v4-flash:free,2026-05-15T02:27:51.104897
57618,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:28:11.549217
57615,2,"The PR was approved with only one minor residual-path suggestion, indicating clean work.",4,no explanation provided,deepseek/deepseek-v4-flash:free,2026-05-15T02:28:16.266356
57617,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:28:26.107439
57612,3,Three files changed with minor changes.,4,"One comment addressed, approved.",deepseek/deepseek-v4-flash:free,2026-05-15T02:28:26.844029
57610,3,parse_error,3,parse_error,deepseek/deepseek-v4-flash:free,2026-05-15T02:28:33.229910
